Topic Category,Disclosure Title,Disclosure Description,Sector,Subsector
Product Quality & Safety,Management of Chemicals in Products,"Chemical safety regulations demonstrate regulatory and stakeholder concern surrounding the use of harmful or potentially harmful substances in consumer products, including apparel, accessories and footwear. Finished apparel and footwear products have
been found to contain traces of chemicals that have been banned or regulated. Depending on the chemical, the amount present in a product and the type of exposure, specific substances can be carcinogenic and can disrupt hormone activity in humans and other organisms. Failure to manage this issue may generate increased regulatory oversight and affect an entity’s social licence to operate. The presence of harmful chemicals in products can result in recalls, litigation and reputational damage. Entities in this industry can examine the design, manufacturing and end-of-life phases to manage the creation, use and disposal of products containing chemicals of concern, develop safe alternatives and eliminate banned chemicals. Given the industry’s reliance on outsourced manufacturing, this involves proactive partnerships with suppliers. In managing this issue, entities must balance the hazards posed by some chemicals against the quality of a product and its costs of production.
More",Consumer Goods,"Apparel, Accessories & Footwear"
Supply Chain Management,Environmental Impacts in the Supply Chain,"The Apparel, Accessories & Footwear industry’s global supply chain contributes significantly to adverse environmental externalities through water consumption and various forms of pollution. Water pollution results from the discharge of chemicals
during water-intensive dyeing and tanning processes. Air pollution stems from the industry’s energy use and some manufacturing processes. These impacts have the potential to damage an entity’s reputation and to affect cost structures over time. The scale of this issue has been intensified historically by the industry relying on manufacturing partners in emerging markets with limited environmental regulations and oversight. However, enhanced stakeholder and consumer scrutiny, coupled with increasingly stringent regulation in some regions, has encouraged entities throughout the industry to work with suppliers to reduce their environmental impact. Apparel, Accessories & Footwear entities that leverage their market power to influence suppliers to improve operational efficiencies and resource consumption and limit pollution can mitigate the costs associated with increased resource scarcity and regulation. Further, those that engage with suppliers through monitoring, auditing and strict standards may better preserve shareholder value over the long term.
More",Consumer Goods,"Apparel, Accessories & Footwear"
Supply Chain Management,Labour Conditions in the Supply Chain,"The treatment of workers and the protection of worker rights in the Apparel, Accessories & Footwear industry’s supply chain is of growing concern among consumers, regulators and leading entities. Critical aspects of this issue include employee health
and safety, fair pay, child labour and forced labour. Although many entities strive to improve supply chain labour conditions, the industry’s reliance on a multitiered system of suppliers, subcontractors, labour recruitment firms and part-time workers makes these issues difficult to manage. Because entities in the industry typically contract with suppliers in countries with the lowest direct costs, the industry’s products often are manufactured in countries with limited regulations or enforcement protecting workers. This dynamic can increase an entity’s exposure to reputational risks. Effects on short- and long-term costs and sales can arise from increasing regulation and enforcement in response to high-profile safety or labour incidents, production disruptions because of strikes and other labour-related work stoppages, or through a shift in demand away from entities associated with such incidents. Entities with strong supply chain standards, monitoring and engagement with suppliers to address labour concerns may better preserve shareholder value over the long term.
More",Consumer Goods,"Apparel, Accessories & Footwear"
Materials Sourcing & Efficiency,Raw Materials Sourcing,"The Apparel, Accessories & Footwear industry relies on many raw materials including cotton, leather, wool, rubber, and precious minerals and metals, as inputs for finished products. Sustainability impacts related to climate change, land use, resource
scarcity and conflict in regions where the industry’s supply chain operates affect the industry’s ability to reliably source materials. The ability of entities to manage potential material shortages, supply disruptions, price volatility and reputational risks can be more difficult when supply chains lack transparency. Failure to effectively manage this issue can delay shipments and depress earnings, reduce margins, constrain revenue growth or increase costs of capital. The types of risk associated with sourcing different materials can require different solutions, including engaging with suppliers, enhancing transparency by using certification standards, using innovative alternative materials, or introducing circular economy practices. Entities that are proactive may reduce their exposure to price volatility and potential supply disruptions, while improving their brand reputation and developing new market opportunities.
More",Consumer Goods,"Apparel, Accessories & Footwear"
Product Quality & Safety,Product Safety,"Product safety is of utmost importance to appliance and tool manufacturers. When an appliance malfunctions, fires or other resulting hazards may damage property, cause injury or even result in death. The potential for product malfunction and
consequences exposes firms to litigation and negative consumer sentiment risks, which can affect brand value, revenue growth or market share. Entities issuing product recalls face upfront costs for logistics and customer reimbursement, reputational risks and lost sales. Failure to report known product safety hazards to relevant authorities can result in civil penalties. Entities that effectively manage quality control and testing can minimise the possibility of a product malfunction or recall, capture additional market share, and limit exposure to regulatory and litigation risks.
More",Consumer Goods,Appliance Manufacturing
Product Design & Lifecycle Management,Product Lifecycle Environmental Impacts,"Entities in the Appliance Manufacturing industry seek to differentiate their products from those of competitors. One important differentiating factor is the lifecycle environmental impact of products and an entity’s ability to design products with
the entire lifecycle in mind, from creation and use to disposal. This includes appliance energy and water efficiency, which account for a significant proportion of a home’s energy and water use, as well as designing for and facilitating safe end-of-life disposal and recycling. Entities designing and manufacturing products to decrease lifecycle environmental impacts are more likely to increase market share owing to a lower cost of ownership, and they may better manage increased regulation related to issues such as extended producer responsibility.
More",Consumer Goods,Appliance Manufacturing
Energy Management,Energy Management in Manufacturing,"The Building Products & Furnishings industry creates value through energy-intensive manufacturing processes. Purchased electricity represents the largest share of energy consumption across the industry, while entities also may use fossil fuel energy
on-site. The price of conventional grid electricity and volatility of fossil fuel prices may increase because of evolving climate change regulations and new incentives for energy efficiency and renewable energy, among other factors, while alternative energy sources become more cost-competitive. Decisions regarding energy sourcing and type, as well as the use of alternative energy, can create trade-offs related to the energy supply’s cost and reliability for operations. Since the industry operates on relatively narrow profit margins, reductions in energy consumption may have a significant influence on financial performance. The way an entity manages energy efficiency, its reliance on different types of energy and their associated sustainability risks, and access alternative energy sources are likely to impact financial performance.
More",Consumer Goods,Building Products & Furnishings
Product Quality & Safety,Management of Chemicals in Products,"The Building Products & Furnishings industry’s products can contain substances that may harm human health, including volatile organic compounds (VOCs) and potential reproductive toxins, carcinogens and endocrine disruptors. In general, products
contain these substances at low concentrations, if at all, and therefore are not expected to pose a health concern. Nonetheless, entities may be exposed to potentially significant regulatory and reputational risk associated with the use of substances of concern. Actual or perceived human health risks create the potential for future regulation of product chemical content and possible reputational consequences for entities, which can significantly affect demand for products. The industry has engaged in voluntary efforts to eliminate such potentially harmful chemicals from products and use alternative materials. The adoption of building certification standards, such as the Leadership in Energy and Environmental Design (LEED) building rating system, has stimulated demand for products with reduced harmful chemical content. Entities that effectively manage harmful chemicals in their products may cultivate a long-term competitive advantage by increasing demand, reducing regulatory risk and improving brand value.
More",Consumer Goods,Building Products & Furnishings
Product Design & Lifecycle Management,Product Lifecycle Environmental Impacts,"Depending on the specific building product or furnishing, significant environmental impacts can arise during raw material sourcing, transportation, manufacturing, use-phase or end-of-life. Increasing consumer and regulatory preference for less
impactful products has spawned the development of more sustainable products, broadly termed ‘green building materials’. In addition, product lifecycle certification has arisen as a tool for entities and their customers to assess and improve a product’s lifecycle impact. Certification programmes typically examine specific sustainability characteristics of a product category and include the use of closed-loop materials that minimise a product’s end-of-life environmental impacts and reduce the need for extracting or producing virgin materials. Through product innovation and design that facilitates end-of-life product recovery and the use of less impactful materials, the adoption of product certification programmes, and partnerships with customers, manufacturers of building products can improve lifecycle impacts, reduce regulatory risk, meet growing customer demand and realise cost savings.
More",Consumer Goods,Building Products & Furnishings
Supply Chain Management,Wood Supply Chain Management,"The Building Products & Furnishings industry uses large amounts of wood sourced from forests worldwide. Unsustainable production and timber harvesting can result in adverse environmental and social impacts, including biodiversity loss and harm to the
livelihoods of forest-dependent communities. Entities inadvertently may source wood from areas susceptible to unsustainable forestry practices. Reports of illegal logging, environmental pollution or adverse impacts on communities can result in reputational repercussions that can damage an entity’s brand value, affecting demand for their products. In addition, regulations banning the importation of illegally produced wood can result in supply constraints, penalties and further damage to brand value. To mitigate these risks, entities increasingly are adopting third-party certifications verifying wood is grown and harvested in a sustainable manner. Obtaining wood sourcing certifications also can provide entities with a potential growth channel because they can satisfy customer demand for certified products.
More",Consumer Goods,Building Products & Furnishings
